domain,url
amazon,https://www.amazon.com/s?k=laptops
amazon,https://www.amazon.com/s?k=headphones
amazon,https://www.amazon.com/s?k=smartphones
walmart,https://www.walmart.com/search/?query=laptops
walmart,https://www.walmart.com/search/?query=smartphones
walmart,https://www.walmart.com/search/?query=headphones
flipkart,https://www.flipkart.com/search?q=laptops
flipkart,https://www.flipkart.com/search?q=smartphones
flipkart,https://www.flipkart.com/search?q=headphones
target,https://www.target.com/s?searchTerm=laptops
target,https://www.target.com/s?searchTerm=smartphones
target,https://www.target.com/s?searchTerm=headphones
nike,https://www.nike.com/w/shoes-3yaepznik1
nike,https://www.nike.com/w/clothing-6rive
nike,https://www.nike.com/w/accessories-2vcmn
adidas,https://www.adidas.com/us/men-shoes
etsy,https://www.etsy.com/search?q=artwork
homedepot,https://www.homedepot.com/b/Tools-Power-Tools/Tool-Savings/N-5yc1vZc298Z1z1zuqf
homedepot,https://www.homedepot.com/b/Furniture/N-5yc1vZc7nn
homedepot,https://www.homedepot.com/b/Lighting-Track-Lighting/N-5yc1vZc7nd

