title,price,rating,reviews,availability
,,,,Not Available
,,,,Not Available
,,,,Not Available
,,,,Not Available
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"9,426 ratings",
,,,,Not Available
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,584 ratings",
,,,,Not Available
,,,,Not Available
,,,,Not Available
,,,,Not Available
,,,,Not Available
,,,,Not Available
"Gamrombo Wireless Controller for PS4, Compatible Switch/PS4 Slim/PS4 Pro, RGB lighting Gamepad Built-in 1000mAh Battery, 3.5mm Audio Jack and Marco/Turbo Function",,4.6 out of 5 stars,8 ratings,Not Available
,,,,Not Available
,,,,Not Available
,,,,Not Available
,,,,Not Available
,,,,Not Available
